product_id,product_name,category,skintype,concern,user_rating
73,dot & key barrier repair gentle hydrating face wash,facewash,"normal , dry , sensitive",brokenbarrier,5
74,ipca acne-oc sebum regulating moisturizer,moisturizer,oily,"acne , hydration",4
75,glambak skin glowing & rejuvenating face wash,facewash,"normal , dry , combination , oily , sensitive",exfoliation,5
76,airgel nmf-15% moisturiser,moisturizer,"normal , dry",hydration,5
77,foxtale essentials multivitamin rose mist & toner,toner,"normal , dry , combination , oily","hydration , brokenbarrier",3
78,foxtale hydrating face wash,facewash,sensitive,hydration,4
79,foxtale acne control cleanser with salicylic acid,cleanser,sensitive,acne,3
80,dr.sheth's cica & ceramide overnight repair serum,serum,sensitive,brokenbarrier,4
81,elovera cream,moisturizer,dry,"hydration , brokenbarrier",4
82,rejuglow face wash,facewash,"normal , dry , combination , oily , sensitive","acne , acne",5
83,lotus herbals alphamoist skin renewal oil free moisturiser,moisturizer,"normal , dry , combination , oily , sensitive",brokenbarrier,5
84,dot & key vitamin c + e spf 50 sunscreen,sunscreen,combination,sunprotection,3
85,bello new photostable sunscreen emulgel spf 55+/pa++++,sunscreen,combination,sunprotection,3
86,svashudhi charcoal face pack,facemask,"normal , dry , combination , oily , sensitive","whitehead , blackhead , pores",4
87,zscreen zinc oxide sunscreen gel,sunscreen,"oily , combination",sunprotection,4
88,elements wellness 3 in 1 face wash  with tea tree oil & vitamin e,facewash,"normal , dry , combination , oily , sensitive","acne , acne",3
89,pure elements neem clove anti acne face wash neemwash neem & clove ultra purifying face wash,facewash,"normal , dry , combination , oily , sensitive",acne,4
90,indus valley ultra rich replenishing face scrub,scrub,dry,darkspots,5
91,kama aryuveda anti acne spot corrector,scrub,"normal ,  oily ,  sensitive ,  dry ,  combination",acne,3
92,kama aryuveda sensitive skin cleansing foam,cleanser,sensitive,"irritation , skinsoothing",3
93,mamaearth anti-pollution daily face cream,cream,sensitive,acne,5
94,la pink white haldi ubtan face mask,facemask,combination,"pigmentation , acne",4
95,mcaffeine hydra repair kombucha tea sunscreen spf 50 pa++++ with ceramides,sunscreen,"normal ,  oily ,  sensitive ,  dry ,  combination","sunprotection , hydration",3
96,aquasoft fc advanced facial cream,cream,"dry , combination",irritation,4
97,excela moisturiser for oily & acne prone skin,moisturizer,"oily , combination",acne,3
98,acnemoist cream,cream,"sensitive , oily",acne,5
99,plum grape seed & sea buckthorn renaissance face mask,facemask,dry,"irritation , skinsoothing",4
100,plum chamomile & white tea plush night souffle,cream,"normal , combination",hydration,3
101,plum phy green tea face mask,facemask,oily,acne,3
102,"plum grape seed & sea buckthorn mild foam scrub
",scrub,"normal , dry , combination",exfoliation,4
103,plum green tea gentle revival face scrub,scrub,"oily , combination",exfoliation,4
104,plum bulgarian valley rose water toner,toner,"normal , dry , combination , oily , sensitive","skinsoothing , pores",5
105,plum 3% pha toner with blueberry,toner,"normal , dry , combination , oily , sensitive",pores,4
106,plum 1% oat & allantoin deep nourish face wash,facewash,"normal , dry , combination , oily , sensitive",brokenbarrier,4
107,plum hello aloe caring day moisturizer,moisturizer,"dry , normal , sensitive",skinsoothing,3
108,pratha beige multani clay,facemask,combination,"whitehead , blackhead",4
109,tattvalogy saraswati river basin dead sea mud clay face mask,facemask,oily,acne,4
110,la pink white haldi face toner with kakadu plum,toner,dry,acne,4
111,ponds super light gel oil free moisturiser with hyaluronic acid + vitamin e,moisturizer,dry,hydration,4
112,velomosk deep moisturiser with grapeseed oil & honey,moisturizer,dry,hydration,5
113,fixderma cleovera paraben free skin moisturizer cream with aloe vera,moisturizer,sensitive,skinsoothing,4
114,"luxura sciences salicylic acid 2% face serum, niacinamide serum",serum,"normal , dry , combination , oily , sensitive","whitehead , blackhead",5
115,deconstruct breakout control d.s. serum,serum,"oily , combination","whitehead , blackhead",3
116,lacto calamine face toner with cucumber,toner,"normal , dry , combination , oily , sensitive",irritation,5
117,re' equil oil control face wash,facewash,oily,"brokenbarrier , hydration",4
118,bebodywise 1% peptide & ceramide moisturizer,moisturizer,combination,brokenbarrier,5
119,bebodywise broad spectrum spf 30 sunscreen,sunscreen,"normal , dry , combination , oily , sensitive",sunprotection,4
120,pure bubbles niacinamide & zinc pca facewash,facewash,sensitive,acne,3
121,pure bubbles bamboo charcoal face wash,facewash,"normal , dry , combination , oily , sensitive",acne,4
122,pure bubbles 5% vitamin c brightening skin serum,serum,"normal , dry , combination , oily",pigmentation,5
123,fixderma shadow  spf 50 + cream,sunscreen,"dry , sensitive",sunprotection,4
124,fixderma shadow sunscreen a-gel spf 30,sunscreen,oily,sunprotection,3
125,fixderma 10% tranexamic acid pigment correcting face serum,serum,"normal , dry , combination , oily , sensitive","pigmentation , darkspots",3
126,suganda squalane cleansing oil,cleanser,"dry , combination , oily , sensitive","pores , skinsoothing",5
127,suganda hydrating oat pha cleanser,cleanser,"dry ,  sensitive ,  combination","hydration , irritation",3
128,suganda total defence sunscreen spf 50 pa++++ with antioxidants,sunscreen,"normal , dry , combination , oily , sensitive","sunprotection , irritation",5
129,the papaya project hydrating face serum,serum,"normal , dry , combination , oily , sensitive",hydration,3
130,be minimalist spf 50 sunscreen stick,sunscreen,dry,sunprotection,3
131,happier sunscreen stick spf 50 pa+++,sunscreen,dry,sunprotection,5
132,dot & key strawberry dew sunscreen stick spf 50,sunscreen,"normal , dry , combination , oily , sensitive",sunprotection,4
133,aqua surge® clear sunstick spf 60 sunscreen,sunscreen,"normal , dry",sunprotection,5
134,la shield intense hydrating cream probiotic moisturizer,moisturizer,"normal , dry , combination , oily , sensitive",hydration,3
135,acnestar clindamycin & nicotinamide gel,cream,"oily , dry , sensitive","acne , whitehead , blackhead , acne",5
136,angelskin cream with 15% glycerin,moisturizer,dry,brokenbarrier,3
137,kozicare skin lightening cream,cream,"normal , dry , combination , oily , sensitive","pigmentation , darkspots",4
138,sorilast cream,cream,dry,"exfoliation , hydration",3
139,bio:cule oil clear purifying cleanser,cleanser,"normal , oily , dry","pores , hydration",5
140,mul secrets wellness hydrate skin hydration mask,facemask,"normal , oily , dry","exfoliation , hydration",5
141,evermore natural cactus gel,gel,"normal , dry , combination , oily , sensitive",skinsoothing,4
142,plum squalane & vitamin e dewy-bright sunscreen spf 50 pa+++,sunscreen,"dry , normal",sunprotection,3
143,pure bubbles skincare barrier reset face-gel moisturiser,moisturizer,oily,brokenbarrier,3
144,the beauty sailor coffee face wash,facewash,"oily , dry","acne , hydration",4
145,the beauty sailor chocolate face mask for glowing skin,facemask,normal,"pores , skinsoothing",5
146,the beauty sailor 2% alpha-arbutin face serum with licorice,serum,oily,pigmentation,5
147,pureearth wild rose himalayan mist,toner,normal,skinsoothing,4
148,"juicy chemistry saffron, rose and australian sandalwood face scrub",scrub,normal,exfoliation,4
149,juicy chemistry australian sandalwood and myrrh night cream,cream,dry,skinsoothing,4
150,juicy chemistry cold pressed rosehip seed carrier oil,moisturizer,oily,darkspots,3
151,simple active skin barrier care smoothing gel face cleanser,cleanser,"normal , dry , combination , oily , sensitive","brokenbarrier , whitehead , blackhead",5
152,the derma co 4% ceramide barrier repair moisturizer,moisturizer,"normal , dry , combination , oily , sensitive",brokenbarrier,5
153,the true therapy retexturize 10% glycolic acid toner,toner,"normal , dry , combination , oily , sensitive",pores,3
154,aqualogica glow+ jello moisturiser with vitamin c & papaya for illuminating moisturization,moisturizer,"normal , dry , combination",hydration,4
155,conscious chemist berry bright pore refining & brightening face mask,facemask,"normal , dry , combination , oily , sensitive",skinsoothing,5
156,pilgrim red vine face mask with mulberry & rosehip oil,facemask,"normal , dry , combination , oily , sensitive","pores , skinsoothing",3
157,pilgrim volcanic lava ash face scrub with yugdugu & white lotus,scrub,"normal , dry , combination , oily , sensitive","whitehead , blackhead , pores",4
158,bangalore bio-plasgens soundarya complexion cream,cream,"normal , dry , combination , oily , sensitive","exfoliation , pigmentation",3
159,sbl neem face wash,facewash,normal,acne,4
160,"sunny herbals face wash with aloe vera, calendula, neem, and tulsi",facewash,"normal , dry",skinsoothing,3
161,melawash face wash,facewash,"normal , oily",pigmentation,5
162,tvaksh face guard silicone sunscreen gel spf 30 pa+++,sunscreen,"normal , dry , combination , oily , sensitive",sunprotection,3
163,"mxofere neem, tulsi & tea tree face wash",facewash,"normal , dry","hydration , skinsoothing",5
164,medfoam foaming face wash,facewash,"oily , combination","acne , pores",5
165,depiclear face wash,facewash,"normal , dry , combination , oily , sensitive","skinsoothing , pores",5
166,aziderm azelaic acid gel 10%,gel,"normal , dry , combination , oily , sensitive","pigmentation , acne",3
167,sensisoothe sunscreen spf 50 pa++++ mineral with ceramides & rice,sunscreen,sensitive,sunprotection,5
168,acnexpert mattifying spf 50 pa+++ niacinamide for oil & acne control,sunscreen,oily,sunprotection,5
169,moody vitamin c brightening face moisturizer,moisturizer,oily,pigmentation,3
170,moody hydro burst water gel moisturizer,moisturizer,oily,"hydration , skinsoothing",5
171,acnexpert foaming face wash salicylic acid & green tea,facewash,oily,pores,3
172,moody vitamin c brightening face wash,facewash,"normal , combination","hydration , darkspots",3
173,regaliz truderma moisturizing lotion,moisturizer,"normal , combination",irritation,4
174,papulex oil-free cream,cream,oily,acne,5
175,hydew moisturiser,moisturizer,oily,acne,5
176,ceratop cream,cream,"dry , normal","hydration , skinsoothing",4
177,conscious chemist pigmentation & dark spot corrector gel cream,cream,"dry , normal , combination","pigmentation , darkspots",4
178,plum chamomile and white tea sheer matte day cream spf 50 pa+++,moisturizer,"normal , dry , combination , oily , sensitive",sunprotection,4
179,rivona 2% hyaluronic acid and 3% niacinamide serum,serum,"normal , dry , combination , oily , sensitive","darkspots , hydration",4
180,rivona charcoal exfoliating face wash with rice granules and tea tree,facewash,"normal , dry , combination","pores , exfoliation",5
181,rivona ha aqua moisturizing cream with 2% hyaluronic acid and cucumber extracts,moisturizer,dry,hydration,3
182,rivona pink brightening cream with alpha arbutin,cream,"normal , dry , combination , oily , sensitive",pores,5
183,rivona mineral sunscreen with spf 50+ uva uvb pa+++,sunscreen,sensitive,sunprotection,4
184,wishcare 100% pure & natural kannauj rose water,toner,"normal , dry , combination , oily , sensitive",skinsoothing,4
185,cos-iq fc 2 face cleanser,cleanser,"dry , normal",hydration,5
186,vilvah store face wash cream,facewash,sensitive,skinsoothing,5
187,vaunt calendula + vitamin b5 cloud cleanser,cleanser,"normal , dry , combination , oily , sensitive",brokenbarrier,5
188,glownise face wash,facewash,"normal , dry , combination","pigmentation , exfoliation",3
189,aquaoat emcure aqua oat moisturizing cream,moisturizer,dry,"hydration , skinsoothing , irritation",5
190,episoft cleansing lotion for sensitive skin,cleanser,sensitive,irritation,4
191,nioglow foaming face wash,facewash,"normal , dry , combination , oily , sensitive","acne , darkspots",3
192,sebonac face wash,facewash,oily,exfoliation,5
193,clensta red aloe vera oil control face wash,facewash,"oily , combination","acne , pores",4
194,"clensta red aloe vera exfoliating face scrub with 3% walnut shell, lactic acid & vitamin e",scrub,"normal , dry , combination , oily , sensitive","exfoliation , whitehead , blackhead",4
195,clensta red aloe vera moisturizing face wash,facewash,"dry , normal","brokenbarrier , hydration",4
196,skinq hydrate & nourish mask,facemask,"sensitive , dry","brokenbarrier , hydration",3
197,skinq acne & oil control serum,serum,"oily , combination","acne , whitehead , blackhead",3
198,dermoys 365 lotion,moisturizer,"combination , oily , sensitive",irritation,5
199,mfine 3% tranexamic acid serum,serum,"normal , dry , combination , oily , sensitive",pigmentation,5
200,mfine 1% salicylic acid foaming cleanser,cleanser,"oily , combination","acne ,  whitehead ,  blackhead",3
